ResourceSpeciesID,ConsumerSpeciesID,Type
6,21,Feeding
24,34,Feeding
25,34,Feeding
26,34,Feeding
35,34,Feeding
36,34,Feeding
37,34,Feeding
38,34,Feeding
39,34,Feeding
40,34,Feeding
41,34,Feeding
42,34,Feeding
43,34,Feeding
45,34,Feeding
21,43,Feeding
24,43,Feeding
25,43,Feeding
26,43,Feeding
29,43,Feeding
34,43,Feeding
36,43,Feeding
37,43,Feeding
38,43,Feeding
39,43,Feeding
40,43,Feeding
41,43,Feeding
42,43,Feeding
43,43,Feeding
45,43,Feeding
66,43,Feeding
92,43,Feeding
100,43,Feeding
104,43,Feeding
21,45,Feeding
24,45,Feeding
25,45,Feeding
26,45,Feeding
29,45,Feeding
34,45,Feeding
36,45,Feeding
37,45,Feeding
38,45,Feeding
39,45,Feeding
40,45,Feeding
41,45,Feeding
42,45,Feeding
43,45,Feeding
45,45,Feeding
66,45,Feeding
92,45,Feeding
100,45,Feeding
104,45,Feeding
12,24,Feeding
12,25,Feeding
12,26,Feeding
12,37,Feeding
12,40,Feeding
12,41,Feeding
12,42,Feeding
12,43,Feeding
12,45,Feeding
122,47,Feeding
24,48,Feeding
25,48,Feeding
26,48,Feeding
29,48,Feeding
34,48,Feeding
36,48,Feeding
37,48,Feeding
38,48,Feeding
39,48,Feeding
40,48,Feeding
41,48,Feeding
42,48,Feeding
43,48,Feeding
45,48,Feeding
66,48,Feeding
92,48,Feeding
24,53,Feeding
25,53,Feeding
26,53,Feeding
29,53,Feeding
34,53,Feeding
35,53,Feeding
36,53,Feeding
37,53,Feeding
38,53,Feeding
39,53,Feeding
40,53,Feeding
41,53,Feeding
42,53,Feeding
43,53,Feeding
45,53,Feeding
12,66,Feeding
12,66,Feeding
6,75,Feeding
6,77,Feeding
6,79,Feeding
145,86,Feeding
146,86,Feeding
147,86,Feeding
148,86,Feeding
152,86,Feeding
153,86,Feeding
156,86,Feeding
157,86,Feeding
158,86,Feeding
160,86,Feeding
162,86,Feeding
163,86,Feeding
164,86,Feeding
165,86,Feeding
166,86,Feeding
167,86,Feeding
168,86,Feeding
169,86,Feeding
171,86,Feeding
172,86,Feeding
175,86,Feeding
176,86,Feeding
178,86,Feeding
179,86,Feeding
181,86,Feeding
185,86,Feeding
186,86,Feeding
187,86,Feeding
188,86,Feeding
189,86,Feeding
190,86,Feeding
191,86,Feeding
192,86,Feeding
193,86,Feeding
196,86,Feeding
198,86,Feeding
203,86,Feeding
206,86,Feeding
207,86,Feeding
208,86,Feeding
209,86,Feeding
145,90,Feeding
146,90,Feeding
147,90,Feeding
148,90,Feeding
152,90,Feeding
153,90,Feeding
156,90,Feeding
157,90,Feeding
158,90,Feeding
160,90,Feeding
162,90,Feeding
163,90,Feeding
164,90,Feeding
165,90,Feeding
166,90,Feeding
167,90,Feeding
168,90,Feeding
169,90,Feeding
171,90,Feeding
172,90,Feeding
175,90,Feeding
176,90,Feeding
178,90,Feeding
179,90,Feeding
181,90,Feeding
185,90,Feeding
186,90,Feeding
187,90,Feeding
188,90,Feeding
189,90,Feeding
190,90,Feeding
191,90,Feeding
192,90,Feeding
193,90,Feeding
196,90,Feeding
198,90,Feeding
203,90,Feeding
206,90,Feeding
207,90,Feeding
208,90,Feeding
209,90,Feeding
6,91,Feeding
10,91,Feeding
12,92,Feeding
6,94,Feeding
6,96,Feeding
10,96,Feeding
6,97,Feeding
10,97,Feeding
6,98,Feeding
10,98,Feeding
6,101,Feeding
10,101,Feeding
6,103,Feeding
12,104,Feeding
6,105,Feeding
10,105,Feeding
6,107,Feeding
6,110,Feeding
6,94,Feeding
12,111,Feeding
6,114,Feeding
10,114,Feeding
14,114,Feeding
15,114,Feeding
16,114,Feeding
20,114,Feeding
24,114,Feeding
25,114,Feeding
26,114,Feeding
29,114,Feeding
34,114,Feeding
35,114,Feeding
36,114,Feeding
37,114,Feeding
38,114,Feeding
39,114,Feeding
40,114,Feeding
41,114,Feeding
42,114,Feeding
43,114,Feeding
45,114,Feeding
48,114,Feeding
53,114,Feeding
66,114,Feeding
75,114,Feeding
77,114,Feeding
79,114,Feeding
82,114,Feeding
91,114,Feeding
96,114,Feeding
97,114,Feeding
98,114,Feeding
101,114,Feeding
105,114,Feeding
107,114,Feeding
94,114,Feeding
94,114,Feeding
10,118,Feeding
21,118,Feeding
24,118,Feeding
25,118,Feeding
26,118,Feeding
29,118,Feeding
34,118,Feeding
36,118,Feeding
37,118,Feeding
38,118,Feeding
39,118,Feeding
40,118,Feeding
41,118,Feeding
42,118,Feeding
43,118,Feeding
45,118,Feeding
66,118,Feeding
92,118,Feeding
104,118,Feeding
21,119,Feeding
24,119,Feeding
25,119,Feeding
26,119,Feeding
29,119,Feeding
34,119,Feeding
36,119,Feeding
37,119,Feeding
38,119,Feeding
39,119,Feeding
40,119,Feeding
41,119,Feeding
42,119,Feeding
43,119,Feeding
45,119,Feeding
66,119,Feeding
89,119,Feeding
91,119,Feeding
96,119,Feeding
97,119,Feeding
98,119,Feeding
100,119,Feeding
101,119,Feeding
103,119,Feeding
104,119,Feeding
105,119,Feeding
107,119,Feeding
108,119,Feeding
110,119,Feeding
10,121,Feeding
24,121,Feeding
25,121,Feeding
26,121,Feeding
29,121,Feeding
34,121,Feeding
35,121,Feeding
36,121,Feeding
37,121,Feeding
38,121,Feeding
39,121,Feeding
40,121,Feeding
41,121,Feeding
42,121,Feeding
43,121,Feeding
45,121,Feeding
24,121,Feeding
25,121,Feeding
26,121,Feeding
29,121,Feeding
34,121,Feeding
36,121,Feeding
37,121,Feeding
38,121,Feeding
39,121,Feeding
40,121,Feeding
41,121,Feeding
42,121,Feeding
43,121,Feeding
45,121,Feeding
53,121,Feeding
66,121,Feeding
75,121,Feeding
76,121,Feeding
89,121,Feeding
91,121,Feeding
92,121,Feeding
96,121,Feeding
97,121,Feeding
98,121,Feeding
100,121,Feeding
101,121,Feeding
103,121,Feeding
104,121,Feeding
105,121,Feeding
107,121,Feeding
108,121,Feeding
110,121,Feeding
86,121,Feeding
90,121,Feeding
94,121,Feeding
10,122,Feeding
88,122,Feeding
89,122,Feeding
91,122,Feeding
96,122,Feeding
97,122,Feeding
98,122,Feeding
100,122,Feeding
101,122,Feeding
103,122,Feeding
105,122,Feeding
107,122,Feeding
108,122,Feeding
109,122,Feeding
110,122,Feeding
94,122,Feeding
94,122,Feeding
111,122,Feeding
114,122,Feeding
119,122,Feeding
121,122,Feeding
136,122,Feeding
138,122,Feeding
211,122,Feeding
24,125,Feeding
34,125,Feeding
36,125,Feeding
37,125,Feeding
38,125,Feeding
39,125,Feeding
40,125,Feeding
41,125,Feeding
42,125,Feeding
43,125,Feeding
45,125,Feeding
53,125,Feeding
88,125,Feeding
89,125,Feeding
91,125,Feeding
96,125,Feeding
97,125,Feeding
98,125,Feeding
100,125,Feeding
101,125,Feeding
103,125,Feeding
105,125,Feeding
108,125,Feeding
109,125,Feeding
111,125,Feeding
114,125,Feeding
119,125,Feeding
121,125,Feeding
136,125,Feeding
138,125,Feeding
211,125,Feeding
10,128,Feeding
111,130,Feeding
114,130,Feeding
118,130,Feeding
119,130,Feeding
121,130,Feeding
125,130,Feeding
136,130,Feeding
138,130,Feeding
211,130,Feeding
34,131,Feeding
111,131,Feeding
114,131,Feeding
211,131,Feeding
34,134,Feeding
111,134,Feeding
114,134,Feeding
211,134,Feeding
24,136,Feeding
34,136,Feeding
36,136,Feeding
37,136,Feeding
38,136,Feeding
39,136,Feeding
40,136,Feeding
41,136,Feeding
42,136,Feeding
89,136,Feeding
91,136,Feeding
96,136,Feeding
97,136,Feeding
98,136,Feeding
100,136,Feeding
101,136,Feeding
103,136,Feeding
105,136,Feeding
107,136,Feeding
108,136,Feeding
110,136,Feeding
111,137,Feeding
114,137,Feeding
119,137,Feeding
136,137,Feeding
211,137,Feeding
21,138,Feeding
24,138,Feeding
25,138,Feeding
26,138,Feeding
29,138,Feeding
34,138,Feeding
36,138,Feeding
37,138,Feeding
38,138,Feeding
39,138,Feeding
40,138,Feeding
41,138,Feeding
42,138,Feeding
43,138,Feeding
45,138,Feeding
66,138,Feeding
89,138,Feeding
92,138,Feeding
100,138,Feeding
103,138,Feeding
104,138,Feeding
111,140,Feeding
114,140,Feeding
119,140,Feeding
136,140,Feeding
138,140,Feeding
211,140,Feeding
12,145,Feeding
14,145,Feeding
15,145,Feeding
16,145,Feeding
75,145,Feeding
91,145,Feeding
96,145,Feeding
97,145,Feeding
98,145,Feeding
101,145,Feeding
105,145,Feeding
107,145,Feeding
86,145,Feeding
90,145,Feeding
94,145,Feeding
94,145,Feeding
24,146,Feeding
25,146,Feeding
26,146,Feeding
29,146,Feeding
34,146,Feeding
35,146,Feeding
36,146,Feeding
37,146,Feeding
38,146,Feeding
39,146,Feeding
40,146,Feeding
41,146,Feeding
42,146,Feeding
43,146,Feeding
45,146,Feeding
53,146,Feeding
66,146,Feeding
77,146,Feeding
79,146,Feeding
88,146,Feeding
89,146,Feeding
91,146,Feeding
94,146,Feeding
96,146,Feeding
97,146,Feeding
98,146,Feeding
101,146,Feeding
105,146,Feeding
107,146,Feeding
108,146,Feeding
