ResourceSpeciesID,ConsumerSpeciesID,Type
6,21,Feeding
21,45,Feeding
22,45,Feeding
23,45,Feeding
26,45,Feeding
27,45,Feeding
28,45,Feeding
29,45,Feeding
30,45,Feeding
31,45,Feeding
32,45,Feeding
33,45,Feeding
45,45,Feeding
46,45,Feeding
59,45,Feeding
60,45,Feeding
61,45,Feeding
62,45,Feeding
63,45,Feeding
64,45,Feeding
68,45,Feeding
69,45,Feeding
71,45,Feeding
73,45,Feeding
74,45,Feeding
92,45,Feeding
100,45,Feeding
104,45,Feeding
21,46,Feeding
22,46,Feeding
23,46,Feeding
26,46,Feeding
27,46,Feeding
28,46,Feeding
29,46,Feeding
30,46,Feeding
31,46,Feeding
32,46,Feeding
33,46,Feeding
45,46,Feeding
46,46,Feeding
59,46,Feeding
60,46,Feeding
61,46,Feeding
62,46,Feeding
63,46,Feeding
64,46,Feeding
68,46,Feeding
69,46,Feeding
71,46,Feeding
73,46,Feeding
74,46,Feeding
92,46,Feeding
100,46,Feeding
104,46,Feeding
12,22,Feeding
12,23,Feeding
12,26,Feeding
12,31,Feeding
12,32,Feeding
12,45,Feeding
12,46,Feeding
122,47,Feeding
22,48,Feeding
23,48,Feeding
26,48,Feeding
27,48,Feeding
28,48,Feeding
29,48,Feeding
30,48,Feeding
31,48,Feeding
32,48,Feeding
33,48,Feeding
45,48,Feeding
46,48,Feeding
59,48,Feeding
60,48,Feeding
61,48,Feeding
62,48,Feeding
63,48,Feeding
64,48,Feeding
68,48,Feeding
69,48,Feeding
71,48,Feeding
73,48,Feeding
74,48,Feeding
92,48,Feeding
113,50,Feeding
22,53,Feeding
23,53,Feeding
26,53,Feeding
27,53,Feeding
28,53,Feeding
29,53,Feeding
30,53,Feeding
31,53,Feeding
32,53,Feeding
33,53,Feeding
35,53,Feeding
45,53,Feeding
46,53,Feeding
6,55,Feeding
12,55,Feeding
95,58,Feeding
100,58,Feeding
6,59,Feeding
12,59,Feeding
22,59,Feeding
23,59,Feeding
26,59,Feeding
27,59,Feeding
28,59,Feeding
29,59,Feeding
30,59,Feeding
31,59,Feeding
32,59,Feeding
33,59,Feeding
45,59,Feeding
46,59,Feeding
59,59,Feeding
60,59,Feeding
61,59,Feeding
62,59,Feeding
63,59,Feeding
64,59,Feeding
68,59,Feeding
69,59,Feeding
71,59,Feeding
73,59,Feeding
74,59,Feeding
6,60,Feeding
12,60,Feeding
22,60,Feeding
23,60,Feeding
26,60,Feeding
27,60,Feeding
28,60,Feeding
29,60,Feeding
30,60,Feeding
31,60,Feeding
32,60,Feeding
33,60,Feeding
45,60,Feeding
46,60,Feeding
59,60,Feeding
60,60,Feeding
61,60,Feeding
62,60,Feeding
63,60,Feeding
64,60,Feeding
68,60,Feeding
69,60,Feeding
71,60,Feeding
73,60,Feeding
74,60,Feeding
12,61,Feeding
12,62,Feeding
22,62,Feeding
23,62,Feeding
26,62,Feeding
27,62,Feeding
28,62,Feeding
29,62,Feeding
30,62,Feeding
31,62,Feeding
32,62,Feeding
33,62,Feeding
45,62,Feeding
46,62,Feeding
59,62,Feeding
60,62,Feeding
61,62,Feeding
62,62,Feeding
63,62,Feeding
64,62,Feeding
68,62,Feeding
69,62,Feeding
71,62,Feeding
73,62,Feeding
74,62,Feeding
6,63,Feeding
12,63,Feeding
22,63,Feeding
23,63,Feeding
26,63,Feeding
27,63,Feeding
28,63,Feeding
29,63,Feeding
30,63,Feeding
31,63,Feeding
32,63,Feeding
33,63,Feeding
45,63,Feeding
46,63,Feeding
59,63,Feeding
60,63,Feeding
61,63,Feeding
62,63,Feeding
63,63,Feeding
64,63,Feeding
68,63,Feeding
69,63,Feeding
71,63,Feeding
73,63,Feeding
74,63,Feeding
6,64,Feeding
12,64,Feeding
6,68,Feeding
12,68,Feeding
6,69,Feeding
12,69,Feeding
22,69,Feeding
23,69,Feeding
26,69,Feeding
27,69,Feeding
28,69,Feeding
29,69,Feeding
30,69,Feeding
31,69,Feeding
32,69,Feeding
33,69,Feeding
45,69,Feeding
46,69,Feeding
